epoch,binary_accuracy,f1_score,loss,mIoU,val_binary_accuracy,val_f1_score,val_loss,val_mIoU
0,0.7857837677001953,0.6741439700126648,91.00978088378906,0.5171018242835999,0.8012784719467163,0.6091927289962769,50.100006103515625,0.43804487586021423
1,0.8895328640937805,0.820966899394989,32.10781478881836,0.6973743438720703,0.911194384098053,0.6382140517234802,18.230453491210938,0.46871864795684814
2,0.9293738603591919,0.8459572792053223,12.32054328918457,0.7337604761123657,0.9119130969047546,0.6050955653190613,8.049079895019531,0.4337669610977173
3,0.9255810379981995,0.8577794432640076,5.737868785858154,0.7519959211349487,0.8427613377571106,0.5611437559127808,4.363793849945068,0.39011722803115845
4,0.9385955929756165,0.8746000528335571,3.1153974533081055,0.7778093218803406,0.6772382259368896,0.5658618211746216,2.7218167781829834,0.39479175209999084
5,0.9429638385772705,0.8862471580505371,1.8937077522277832,0.7964261174201965,0.5936242341995239,0.5980698466300964,1.9009045362472534,0.42771151661872864
6,0.9437618851661682,0.8901203274726868,1.385240077972412,0.8024930357933044,0.6594427824020386,0.5694718956947327,1.694174885749817,0.3980639576911926
7,0.9448338747024536,0.8898348808288574,1.194046139717102,0.802333414554596,0.4699549078941345,0.5459803342819214,1.6237369775772095,0.3762149214744568
8,0.9440386891365051,0.8883635401725769,1.0415382385253906,0.7997733950614929,0.5929397344589233,0.5527880787849426,1.3970592021942139,0.38278087973594666
9,0.9449453949928284,0.8940925598144531,0.9072760343551636,0.8090531826019287,0.5152009129524231,0.5575457811355591,1.3232967853546143,0.38649094104766846
10,0.9468814730644226,0.8974889516830444,0.82278972864151,0.8148229718208313,0.5718489289283752,0.5456299781799316,1.25303053855896,0.3765496015548706
11,0.9481968283653259,0.8985761404037476,0.7807983756065369,0.8168495893478394,0.7168826460838318,0.6351697444915771,1.1079612970352173,0.46538639068603516
12,0.9481862783432007,0.9008648991584778,0.7425612211227417,0.8201404213905334,0.7725335359573364,0.7001612186431885,1.0209169387817383,0.5408284664154053
13,0.9506813883781433,0.9044448733329773,0.7012084126472473,0.8260034322738647,0.7009561657905579,0.6596498489379883,0.9910518527030945,0.4925737977027893
14,0.9465357065200806,0.8988450169563293,0.6792754530906677,0.8169482946395874,0.7242178916931152,0.6919935941696167,0.9562668204307556,0.5302366018295288
15,0.9492666721343994,0.9034566283226013,0.6397836804389954,0.8245449066162109,0.6927564144134521,0.6778448820114136,0.9437408447265625,0.5128610134124756
16,0.949464738368988,0.9013465642929077,0.612294614315033,0.8213454484939575,0.6114791631698608,0.6459940671920776,0.9710638523101807,0.47725003957748413
17,0.948821485042572,0.904400646686554,0.5938631892204285,0.8260745406150818,0.7388663291931152,0.6933954954147339,0.8661795258522034,0.5308877229690552
18,0.9504938721656799,0.903876006603241,0.5813775658607483,0.8250933885574341,0.6798237562179565,0.674967348575592,0.9151632189750671,0.5100307464599609
19,0.9502729177474976,0.9014890789985657,0.572047770023346,0.8216254115104675,0.833891749382019,0.7093798518180847,0.7818160057067871,0.5510492920875549
